"","Estimate","Pr(>|t|)"
"(Intercept)",-3.38141217228909,0.00327110769872587
"WRT",0.366156519578554,9.6292759595638e-25
"T",0.0785816042433027,0.820781233364484
"Depth",-0.653107727175664,1.32078800969136e-10
"Area",-0.95913762392849,2.40035876686087e-62
"TrophicIndex_2",1.3939745736371,1.66730824427611e-12
"TrophicIndex_3",1.71083788210815,3.74429095176093e-15
"TrophicIndex_4",2.05322160009403,8.40157548722449e-20
