"","Estimate","Pr(>|t|)"
"(Intercept)",-3.59230709271224,1.72834108958784e-07
"WRT",0.447011500350652,9.85433916623502e-79
"T",0.420319969641266,0.0413249078283194
"Depth",-0.0467314684077013,0.42963288549758
"Area",-0.37647541537291,4.55021480886844e-32
"TrophicIndex_2",0.202623459332347,0.077064288941152
"TrophicIndex_3",0.371630231509838,0.00316287831419876
"TrophicIndex_4",0.49119021272956,0.000149489369664106
