"","Estimate","Pr(>|t|)"
"(Intercept)",-2.55261801414306,0.000309264783120377
"WRT",0.646604699499859,2.30994241835624e-120
"T",-0.406121491255461,0.0565594904978669
"Depth",-0.0306944159367644,0.614690175295121
"Area",-0.384355308845405,1.50750765871217e-31
"TrophicIndex_2",0.14777751672144,0.210208166607003
"TrophicIndex_3",0.481732020008945,0.000225034337657928
"TrophicIndex_4",0.638088209930162,1.94244100572793e-06
