"","Estimate","Pr(>|t|)"
"(Intercept)",-1.03368939430403,0.331919656921004
"WRT",0.480059816366044,1.51287597011277e-42
"T",-0.705888954632498,0.0286073010276238
"Depth",-0.757683867758791,1.35733998785646e-15
"Area",-0.993810499791188,5.24475574698428e-74
"TrophicIndex_2",0.779499916020911,1.42689407006637e-05
"TrophicIndex_3",1.34184781122229,1.96751302810083e-11
"TrophicIndex_4",1.91749602895064,3.41609170805162e-20
